vehicle,time,lat[D.DDD],lon[D.DDD]
veh_2,13:32:11.56,35.7172381,-120.7640495
veh_2,13:32:12.24,35.7172554,-120.7642256
veh_2,13:32:12.62,35.7172754,-120.7643105
veh_2,13:32:13.01,35.7173036,-120.7643914
veh_2,13:32:13.31,35.7173508,-120.764509
veh_2,13:32:13.69,35.7173851,-120.7645857
veh_2,13:32:14.10,35.7174214,-120.7646612
veh_2,13:32:14.55,35.7174588,-120.7647377
veh_2,13:32:15.06,35.7174984,-120.7648144
veh_2,13:32:15.42,35.7175587,-120.7649274
veh_2,13:32:15.90,35.7175996,-120.765002
veh_2,13:32:16.29,35.71764,-120.7650766
veh_2,13:32:16.68,35.7176811,-120.7651528
veh_2,13:32:17.11,35.7177208,-120.7652298
veh_2,13:32:17.82,35.7177794,-120.7653438
veh_2,13:32:18.23,35.7178175,-120.7654188
veh_2,13:32:18.53,35.717853,-120.765494
veh_2,13:32:19.00,35.7178877,-120.7655685
veh_2,13:32:19.26,35.7179047,-120.7656061
veh_2,13:32:20.03,35.7179708,-120.7657558
veh_2,13:32:20.61,35.7180208,-120.7658666
veh_2,13:32:20.90,35.7180369,-120.7659037
veh_2,13:32:21.64,35.7180855,-120.7660137
veh_2,13:32:21.92,35.7181171,-120.7660879
veh_2,13:32:22.31,35.7181326,-120.7661249
veh_2,13:32:22.58,35.7181616,-120.7662019
veh_2,13:32:22.89,35.7181773,-120.7662416
veh_2,13:32:23.15,35.7182158,-120.7663153
veh_2,13:32:23.52,35.7182403,-120.7663491
veh_2,13:32:24.17,35.7183298,-120.7664244
veh_2,13:32:24.42,35.7183939,-120.7664549
veh_2,13:32:25.21,35.7184924,-120.7664814
veh_2,13:32:25.79,35.7186215,-120.7664748
veh_2,13:32:26.31,35.7187148,-120.7664505
veh_2,13:32:26.62,35.7187742,-120.7664266
veh_2,13:32:26.90,35.7188332,-120.7663974
veh_2,13:32:27.26,35.7188623,-120.7663805
veh_2,13:32:27.63,35.7189191,-120.7663432
veh_2,13:32:27.92,35.7189741,-120.7663023
veh_2,13:32:28.22,35.7190003,-120.7662809
veh_2,13:32:28.88,35.7190517,-120.766236
veh_2,13:32:29.21,35.7191025,-120.7661908
veh_2,13:32:29.49,35.7191283,-120.7661667
veh_2,13:32:29.81,35.7191795,-120.7661198
veh_2,13:32:30.11,35.7192302,-120.7660713
veh_2,13:32:31.18,35.7193421,-120.7659305
veh_2,13:32:31.43,35.719367,-120.7658564
veh_2,13:32:31.77,35.7193736,-120.7658172
veh_2,13:32:32.05,35.7193873,-120.7657401
veh_2,13:32:33.08,35.7193934,-120.7655399
veh_2,13:32:33.74,35.7193808,-120.7654185
veh_2,13:32:34.12,35.7193663,-120.7653386
veh_2,13:32:34.49,35.7193574,-120.7652991
veh_2,13:32:35.92,35.719289,-120.7650653
veh_2,13:32:36.28,35.7192619,-120.764991
veh_2,13:32:36.70,35.7192358,-120.7649173
veh_2,13:32:37.04,35.7192092,-120.764843
veh_2,13:32:37.77,35.7191677,-120.7647329
veh_2,13:32:38.21,35.7191252,-120.7646215
veh_2,13:32:39.11,35.7190723,-120.7644716
veh_2,13:32:39.49,35.7190458,-120.7643976
veh_2,13:32:39.76,35.7190044,-120.7642863
veh_2,13:32:40.07,35.7189788,-120.7642119
