vehicle,time,aspd[m/s],gspd[m/s],hdg,alt[m-msl]
veh_1,12:19:23.13,1.39465808868,0.0499999970198,214.0,274.160003662
veh_1,12:19:23.39,1.54016304016,0.00999999977648,214.0,274.140014648
veh_1,12:19:23.73,1.59444785118,0.019999999553,214.0,274.070007324
veh_1,12:19:24.05,1.03294217587,0.070000000298,214.0,274.160003662
veh_1,12:19:24.59,1.17709922791,0.140000000596,214.0,274.119995117
veh_1,12:19:24.84,1.16168534756,0.229999989271,214.0,274.079986572
veh_1,12:19:25.32,0.705713570118,0.129999995232,214.0,274.070007324
veh_1,12:19:25.62,1.11265099049,0.149999991059,214.0,274.100006104
veh_1,12:19:25.94,1.03501307964,0.0899999961257,214.0,274.149993896
veh_1,12:19:26.20,1.30799233913,0.159999996424,214.0,274.109985352
veh_1,12:19:26.46,0.954711318016,0.0799999982119,214.0,274.040008545
veh_1,12:19:26.72,0.327465951443,0.159999996424,214.0,274.079986572
veh_1,12:19:27.08,0.587581813335,0.0599999986589,214.0,273.989990234
veh_1,12:19:27.67,0.561022639275,0.0299999993294,214.0,273.959991455
veh_1,12:19:28.00,0.561441242695,0.0799999982119,214.0,273.959991455
veh_1,12:19:28.37,0.966734111309,0.129999995232,214.0,273.940002441
veh_1,12:19:28.65,0.898611068726,0.0299999993294,214.0,273.929992676
veh_1,12:19:28.99,1.17562794685,0.0899999961257,214.0,273.899993896
veh_1,12:19:29.27,1.48455417156,0.159999996424,214.0,273.959991455
veh_1,12:19:29.52,1.53323149681,0.0799999982119,214.0,273.989990234
veh_1,12:19:29.75,0.983804404736,0.0799999982119,214.0,273.970001221
veh_1,12:19:30.19,2.14039850235,0.0599999986589,214.0,273.980010986
veh_1,12:19:30.52,1.87289512157,0.199999988079,214.0,274.010009766
veh_1,12:19:30.84,1.59971690178,0.070000000298,214.0,274.109985352
veh_1,12:19:31.57,1.51622831821,0.0599999986589,214.0,274.170013428
veh_1,12:19:32.19,1.48263275623,0.189999997616,214.0,274.160003662
veh_1,12:19:32.51,1.20908069611,0.0799999982119,214.0,274.079986572
veh_1,12:19:32.77,1.34493362904,0.129999995232,214.0,274.070007324
veh_1,12:19:33.01,1.50589871407,0.0299999993294,214.0,274.089996338
veh_1,12:19:33.57,1.56474065781,0.0799999982119,214.0,274.119995117
veh_1,12:19:33.82,1.51670968533,0.0999999940395,214.0,274.140014648
veh_1,12:19:34.10,1.39853394032,0.199999988079,214.0,274.190002441
veh_1,12:19:34.54,1.19970178604,0.070000000298,214.0,274.040008545
veh_1,12:19:34.92,0.777244269848,0.109999999404,214.0,274.040008545
veh_1,12:19:35.24,0.818919956684,0.0399999991059,214.0,274.079986572
veh_1,12:19:35.60,1.4553194046,0.0499999970198,214.0,274.029998779
veh_1,12:19:35.97,0.863875210285,0.019999999553,214.0,274.089996338
veh_1,12:19:36.33,0.763058662415,0.0999999940395,214.0,274.089996338
veh_1,12:19:36.66,1.00813925266,0.019999999553,214.0,274.059997559
veh_1,12:19:36.89,1.64465582371,0.0999999940395,214.0,274.119995117
veh_1,12:19:37.17,1.21117734909,0.070000000298,214.0,274.190002441
veh_1,12:19:37.54,0.982817590237,0.0499999970198,214.0,274.179992676
veh_1,12:19:37.79,1.20155179501,0.0899999961257,214.0,274.279998779
veh_1,12:19:38.03,1.85294485092,0.0399999991059,214.0,274.339996338
veh_1,12:19:38.38,1.79188191891,0.170000001788,214.0,274.440002441
veh_1,12:19:38.75,1.63570320606,0.0799999982119,214.0,274.489990234
veh_1,12:19:39.11,1.69312524796,0.109999999404,214.0,274.459991455
veh_1,12:19:39.73,1.31286275387,0.149999991059,214.0,274.579986572
veh_1,12:19:39.99,1.38352549076,0.0799999982119,214.0,274.630004883
veh_1,12:19:40.29,2.11679148674,0.0299999993294,214.0,274.579986572
veh_1,12:19:40.51,1.94183409214,0.149999991059,214.0,274.609985352
veh_1,12:19:40.87,2.10441422462,0.149999991059,214.0,274.549987793
veh_1,12:19:41.12,1.80706691742,0.109999999404,214.0,274.529998779
veh_1,12:19:41.39,1.81458997726,0.0599999986589,214.0,274.549987793
veh_1,12:19:42.61,1.9477404356,0.119999997318,214.0,274.489990234
veh_1,12:19:42.90,1.20157563686,0.019999999553,214.0,274.510009766
veh_1,12:19:43.23,1.84950196743,0.0799999982119,214.0,274.529998779
veh_1,12:19:43.70,1.33323681355,0.129999995232,214.0,274.519989014
veh_1,12:19:44.04,1.79119443893,0.109999999404,214.0,274.450012207
veh_1,12:19:44.32,1.29356658459,0.0599999986589,214.0,274.470001221
veh_1,12:19:44.58,0.951610147953,0.0499999970198,214.0,274.390014648
veh_1,12:19:44.83,1.37580323219,0.129999995232,214.0,274.369995117
veh_1,12:19:45.10,0.986744761467,0.149999991059,214.0,274.369995117
veh_1,12:19:45.43,1.81638729572,0.140000000596,214.0,274.369995117
veh_1,12:19:45.68,1.82792043686,0.0899999961257,214.0,274.380004883
veh_1,12:19:45.98,1.50573885441,0.209999993443,214.0,274.369995117
veh_1,12:19:46.33,1.84779059887,0.209999993443,214.0,274.359985352
veh_1,12:19:46.66,1.12183141708,0.0399999991059,214.0,274.429992676
veh_1,12:19:47.02,1.8661788702,0.0599999986589,214.0,274.380004883
veh_1,12:19:47.49,1.40976715088,0.0999999940395,214.0,274.470001221
veh_1,12:19:47.78,1.11007142067,0.129999995232,214.0,274.480010986
veh_1,12:19:48.51,1.48154437542,0.179999992251,214.0,274.510009766
veh_1,12:19:48.76,1.33902513981,0.0599999986589,214.0,274.470001221
veh_1,12:19:49.14,1.72446572781,0.119999997318,214.0,274.559997559
veh_1,12:19:49.38,1.01079392433,0.0799999982119,214.0,274.589996338
veh_1,12:19:49.79,1.39133644104,0.149999991059,214.0,274.609985352
veh_1,12:19:50.12,1.33645224571,0.170000001788,214.0,274.619995117
veh_1,12:19:50.38,1.52175629139,0.140000000596,214.0,274.540008545
veh_1,12:19:50.69,1.96403813362,0.0999999940395,214.0,274.559997559
veh_1,12:19:51.06,1.31054162979,0.0299999993294,214.0,274.609985352
veh_1,12:19:51.32,1.36657726765,0.140000000596,214.0,274.739990234
veh_1,12:19:51.98,1.5223249197,0.129999995232,214.0,274.75
veh_1,12:19:52.26,1.26630973816,0.109999999404,214.0,274.809997559
veh_1,12:19:52.69,1.01436376572,0.109999999404,214.0,274.739990234
veh_1,12:19:52.92,2.12377643585,0.140000000596,214.0,274.820007324
veh_1,12:19:53.54,1.11840486526,0.140000000596,214.0,274.899993896
veh_1,12:19:53.84,0.548018395901,0.00999999977648,214.0,274.910003662
veh_1,12:19:54.20,1.55899047852,0.119999997318,214.0,274.850006104
veh_1,12:19:54.45,0.969970047474,0.119999997318,214.0,274.839996338
veh_1,12:19:54.79,1.67667388916,0.070000000298,214.0,274.859985352
veh_1,12:19:55.16,1.4490789175,0.149999991059,214.0,274.760009766
veh_1,12:19:55.52,1.07274091244,0.0799999982119,214.0,274.720001221
veh_1,12:19:55.77,1.28469538689,0.0499999970198,214.0,274.970001221
veh_1,12:19:56.14,0.984874248505,0.170000001788,214.0,275.040008545
veh_1,12:19:56.39,1.22474420071,0.019999999553,214.0,275.209991455
veh_1,12:19:56.65,1.13178789616,0.070000000298,214.0,275.100006104
veh_1,12:19:56.98,0.861291229725,0.149999991059,214.0,275.059997559
veh_1,12:19:57.27,1.22319149971,0.129999995232,214.0,274.980010986
veh_1,12:19:57.57,1.87124931812,0.0499999970198,214.0,274.799987793
veh_1,12:19:57.89,1.00251853466,0.0399999991059,214.0,274.700012207
veh_1,12:19:58.28,1.55298507214,0.0899999961257,214.0,274.649993896
veh_1,12:19:58.53,1.29170393944,0.119999997318,214.0,274.690002441
veh_1,12:19:58.98,2.14270019531,0.0299999993294,214.0,274.730010986
veh_1,12:19:59.31,1.61910688877,0.0399999991059,214.0,274.829986572
veh_1,12:19:59.67,0.85088634491,0.0899999961257,214.0,274.940002441
veh_1,12:20:00.17,1.17488205433,0.0499999970198,214.0,274.950012207
veh_1,12:20:00.51,0.642463028431,0.0899999961257,214.0,274.970001221
veh_1,12:20:00.76,0.688133835793,0.019999999553,214.0,274.959991455
veh_1,12:20:01.16,0.23602989316,0.019999999553,214.0,274.980010986
veh_1,12:20:01.42,0.255672514439,0.0999999940395,214.0,275.040008545
veh_1,12:20:01.83,0.240557298064,0.129999995232,214.0,275.079986572
veh_1,12:20:02.19,1.35595726967,0.0799999982119,214.0,275.140014648
veh_1,12:20:02.43,1.10481607914,0.119999997318,214.0,275.070007324
veh_1,12:20:02.92,1.3441170454,0.159999996424,214.0,275.040008545
veh_1,12:20:03.17,1.31864440441,0.0499999970198,214.0,275.140014648
veh_1,12:20:03.47,1.1386859417,0.119999997318,214.0,275.140014648
veh_1,12:20:03.80,1.46843373775,0.0599999986589,214.0,275.209991455
veh_1,12:20:04.23,1.47291684151,0.159999996424,214.0,275.200012207
veh_1,12:20:04.48,1.85383534431,0.189999997616,214.0,275.149993896
veh_1,12:20:04.89,1.38136994839,0.119999997318,214.0,275.130004883
veh_1,12:20:05.16,0.928761363029,0.0499999970198,214.0,275.200012207
veh_1,12:20:05.57,1.55554187298,0.129999995232,214.0,275.309997559
veh_1,12:20:05.87,1.08527994156,0.119999997318,214.0,275.329986572
veh_1,12:20:06.23,0.919622063637,0.199999988079,214.0,275.440002441
veh_1,12:20:06.54,1.44389605522,0.140000000596,214.0,275.369995117
veh_1,12:20:07.29,1.73505091667,0.109999999404,214.0,275.350006104
veh_1,12:20:07.54,1.33440160751,0.159999996424,214.0,275.390014648
veh_1,12:20:07.79,1.49839532375,0.149999991059,214.0,275.380004883
